1,Pick of the Litter,Miami,EGIIXjOeU@gmail.com
2,North Shore Shelters,Saint Louis,bmwRrLzk@gmail.com
3,Guide Dogs,Tulsa,RvGrZExI@gmail.com
4,Golden Gate,Seattle,ybDePOzHbT@gmail.com
5,Posh Paws,Concord,NTFHgC@gmail.com
6,Fur the Herd,Gainesville,UIIqymYgm@gmail.com
7,Raise the Woof,Flint,EqtWp@gmail.com
8,The Lily Pad Shelter,Arvada,nSszX@gmail.com
9,True Companions,Sunrise Manor,LTOWQ@gmail.com
10,Safe Heaven,Birmingham,DtztTIKDL@gmail.com
11,Kitten Associates,Naperville,OfqteV@gmail.com
12,Yuppie Puppy,Escondido,OcKCjeL@gmail.com
13,The Paw Pack,Columbia,NvrxAFjCLy@gmail.com
14,Scruffy Fluffies,Baltimore,MsNwxCQq@gmail.com
15,Eden for Pups,Carrollton,nzynx@gmail.com
16,Scruffy Fluffies,Glendale,SvHucehwU@gmail.com
17,Guide Dogs,Erie,FBbAXztk@gmail.com
18,Beyond the Border,Mobile,KUglVpAF@gmail.com
19,Red Rover,Syracuse,mNHsuVJUZE@gmail.com
20,Who’s the Paws?,Bellevue,rSBdPtZi@gmail.com
21,Grr and Purr,Portland,YOfsjPpeA@gmail.com
22,Pristine Pups,Mobile,AqxWZXf@gmail.com
23,Furry Tales,Boise City,siVSa@gmail.com
24,World Cats Protection,Thousand Oaks,TLvZwJvK@gmail.com
25,The Fresh Paws,Miami,zmIXVPQ@gmail.com
26,Pristine Pups,Compton,ejnHu@gmail.com
27,Puppy Paws,Miami,yLZGSl@gmail.com
28,Perfect Touch Shelters,Dayton,MrLAgeQ@gmail.com
29,The Cat Network,Vallejo,XHsrWMds@gmail.com
30,Little Paws,Pittsburgh,ZSdlC@gmail.com
31,The Barkery,Dayton,ikAAyA@gmail.com
32,Wild Wagging,Santa Monica,xphYJX@gmail.com
33,Underdog Rescue,Santa Clara,KcYEz@gmail.com
34,Wags and Walks,Waterbury,mBgDtOFmd@gmail.com
35,Pawsitive Attitude,Atlanta,TkzsJ@gmail.com
36,Wags and Walks,Citrus Heights,jqwPNhxzZ@gmail.com
37,Eden for Pups,Birmingham,QUoqz@gmail.com
38,Save a Pet,Joliet,XlpHcdLMCq@gmail.com
